Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-09-18 16:16:45.603 -0600,"Running",0:00:00,0,0,0,"20170918_161645.603/LogFile.txt","","",0
2017-09-18 16:17:27.207 -0600,"Success",0:00:08,0,0,0,"20170918_161727.207/LogFile.txt","","",1
